iter	RMSE
0	5.594191449
1	5.469030831
2	5.316939738
3	5.181558754
4	5.042054633
5	4.923038632
6	4.804602348
7	4.695549985
8	4.595044476
9	4.507125049
10	4.410845948
11	4.322686456
12	4.234242015
13	4.163233499
14	4.101030011
15	4.027620385
16	3.960692943
17	3.892288109
18	3.826288129
19	3.761746017
20	3.718032915
21	3.664521282
22	3.619888668
23	3.57330133
24	3.527402911
25	3.486543941
26	3.452762443
27	3.414098333
28	3.379330424
29	3.350534552
30	3.320082777
31	3.290446476
32	3.267743151
33	3.24384789
34	3.219109106
35	3.199323476
36	3.177505953
37	3.158253679
38	3.135857063
39	3.108208308
40	3.082769762
41	3.05982015
42	3.036470002
43	3.014299889
44	2.99819751
45	2.983783111
46	2.965682454
47	2.949230398
48	2.931203462
49	2.91827247
50	2.903167476
51	2.887516688
52	2.872244976
53	2.85424116
54	2.841316642
55	2.826791861
56	2.813815356
57	2.801738068
58	2.79067519
59	2.771964903
60	2.758737158
61	2.749311754
62	2.73469786
63	2.723504245
64	2.712054487
65	2.703266486
66	2.695669009
67	2.687062291
68	2.675772294
69	2.668051469
70	2.656548244
71	2.641415974
72	2.630032415
73	2.61816881
74	2.610317237
75	2.599118535
76	2.589418166
77	2.579502961
78	2.575188392
79	2.565495288
80	2.555266369
81	2.545190602
82	2.534263219
83	2.524631997
84	2.519404854
85	2.514715897
86	2.508316546
87	2.501407588
88	2.492063674
89	2.484184911
90	2.477384478
91	2.47210039
92	2.462846152
93	2.455855899
94	2.44838344
95	2.439619165
96	2.434305162
97	2.428824794
98	2.422370473
99	2.41481514
100	2.404089944
101	2.396095234
102	2.38835128
103	2.382061916
104	2.374769256
105	2.36634659
106	2.356077972
107	2.351858699
108	2.344633479
109	2.33552348
110	2.331292396
111	2.324886219
112	2.315261806
113	2.311749263
114	2.304848417
115	2.29830924
116	2.288521117
117	2.281872806
118	2.273867929
119	2.268711874
120	2.260357003
121	2.252151048
122	2.245094837
123	2.241758716
124	2.237415373
125	2.230115818
126	2.225516393
127	2.220332796
128	2.212129208
129	2.207333235
130	2.20237414
131	2.19426828
132	2.188124335
133	2.179743228
134	2.173370987
135	2.169230982
136	2.164720175
137	2.15961416
138	2.153492076
139	2.148061426
140	2.141596174
141	2.132723035
142	2.1259137
143	2.120197984
144	2.11679643
145	2.112395155
146	2.105690258
147	2.100355888
148	2.096337864
149	2.092946866
150	2.088054011
151	2.082870714
152	2.077064453
153	2.071633343
154	2.067112337
155	2.06041103
156	2.055964741
157	2.042989223
158	2.03855478
159	2.034866883
160	2.026935998
161	2.023091261
162	2.018485381
163	2.015020459
164	2.011999365
165	2.006847636
166	1.997912311
167	1.993093453
168	1.988556418
169	1.982946694
170	1.97732322
171	1.972489996
172	1.968043058
173	1.963249308
174	1.96014534
175	1.954861132
176	1.949073437
177	1.944622789
178	1.938176217
179	1.932514313
180	1.928609714
181	1.924636526
182	1.919300585
183	1.914819456
184	1.911043102
185	1.903883142
186	1.899137297
187	1.892481117
188	1.889523725
189	1.8851287
190	1.881142496
191	1.872430928
192	1.867966962
193	1.864558753
194	1.860757897
195	1.857028024
196	1.852404623
197	1.85223549
198	1.848984583
199	1.844183234
200	1.841046335
201	1.838692663
202	1.838414202
203	1.836093514
204	1.833999202
205	1.830870844
206	1.827218855
207	1.825349614
208	1.820022542
209	1.817730001
210	1.815784323
211	1.813475879
212	1.811377533
213	1.807629306
214	1.804324686
215	1.800367612
216	1.796996496
217	1.794913994
218	1.792699642
219	1.789054462
220	1.783578551
221	1.780244004
222	1.775555085
223	1.771950999
224	1.767164871
225	1.763309353
