iter	Passed	Remaining
0	65	52001
1	66	26372
2	67	17821
3	68	13564
4	69	11018
5	70	9323
6	71	8122
7	72	7218
8	73	6495
9	75	5927
10	76	5451
11	77	5058
12	78	4730
13	79	4447
14	80	4194
15	81	3973
16	82	3778
17	83	3612
18	84	3458
19	85	3322
20	86	3195
21	87	3085
22	88	2986
23	89	2899
24	90	2808
25	91	2724
26	92	2649
27	93	2577
28	94	2512
29	95	2449
30	96	2392
31	97	2337
32	98	2284
33	99	2234
34	100	2187
35	101	2144
36	101	2101
37	102	2062
38	103	2025
39	104	1989
40	105	1955
41	106	1922
42	107	1892
43	108	1863
44	109	1835
45	110	1808
46	111	1782
47	112	1757
48	113	1733
49	114	1710
50	114	1688
51	115	1666
52	116	1646
53	117	1627
54	118	1608
55	119	1590
56	120	1571
57	121	1554
58	122	1537
59	123	1521
60	124	1506
61	125	1495
62	126	1480
63	127	1465
64	128	1451
65	129	1437
66	130	1424
67	131	1411
68	132	1398
69	132	1386
70	133	1374
71	134	1362
72	135	1351
73	136	1340
74	137	1329
75	138	1318
76	139	1308
77	140	1298
78	141	1289
79	142	1281
80	143	1272
81	144	1267
82	145	1258
83	146	1248
84	147	1239
85	148	1231
86	149	1222
87	150	1214
88	151	1206
89	151	1198
90	152	1191
91	153	1182
92	154	1174
93	155	1167
94	156	1160
95	157	1153
96	158	1149
97	159	1142
98	160	1136
99	161	1128
100	162	1121
101	163	1116
102	164	1109
103	164	1103
104	166	1099
105	167	1094
106	168	1090
107	169	1084
108	170	1080
109	171	1076
110	172	1070
111	173	1067
112	174	1063
113	176	1060
114	177	1060
115	178	1054
116	179	1049
117	180	1043
118	181	1038
119	182	1034
120	183	1029
121	184	1024
122	185	1020
123	186	1016
124	187	1011
125	188	1006
126	189	1001
127	190	997
128	191	994
129	192	989
130	192	985
131	193	980
132	194	976
133	195	972
134	196	967
135	197	963
136	198	959
137	199	955
138	200	951
139	201	947
140	202	944
141	203	941
142	204	937
143	204	933
144	205	929
145	206	926
146	207	922
147	208	918
148	209	915
149	210	911
150	211	908
151	212	905
152	213	901
153	214	898
154	215	895
155	216	891
156	217	889
157	217	885
158	218	882
159	219	879
160	220	875
161	221	873
162	222	870
163	223	867
164	224	864
165	225	861
166	226	858
167	227	855
168	228	853
169	229	850
170	230	847
171	231	844
172	232	841
173	233	838
174	234	835
175	235	833
176	235	830
177	236	827
178	237	824
179	238	821
180	239	819
181	240	816
182	241	813
183	242	811
184	243	808
185	244	805
186	245	803
187	246	801
188	246	798
189	247	796
190	248	793
191	249	790
192	250	788
193	251	785
194	252	783
195	253	780
196	254	778
197	255	776
198	256	773
199	257	771
200	258	768
201	258	766
202	259	764
203	260	761
204	261	759
205	262	757
206	263	755
207	264	752
208	265	750
209	266	748
210	267	746
211	268	744
212	269	741
213	270	739
214	270	737
215	271	735
216	272	732
217	273	730
218	274	728
219	275	725
220	276	723
221	277	721
222	277	719
223	278	717
224	279	714
225	280	712
226	281	710
227	282	708
228	283	706
229	284	704
230	285	702
231	285	700
232	286	697
233	287	695
234	288	693
235	289	691
236	290	689
237	291	688
238	292	686
239	293	683
240	294	682
241	295	680
242	295	678
243	296	676
244	297	674
245	298	673
246	299	671
247	300	669
248	301	667
249	302	665
250	303	663
251	304	661
252	305	659
253	306	657
254	307	656
255	308	654
256	309	652
257	309	650
258	310	649
259	311	647
260	313	647
261	314	645
262	315	643
263	315	641
264	316	639
265	317	638
266	318	636
267	319	634
268	320	632
269	321	630
270	322	629
271	323	627
272	324	625
273	324	623
274	325	621
275	326	620
276	327	618
277	328	616
278	329	615
279	330	613
280	331	611
281	332	610
282	333	608
283	333	606
284	334	604
285	335	603
286	336	601
287	337	600
288	339	600
289	341	599
290	342	599
291	344	599
292	345	598
293	346	596
294	347	595
295	348	594
296	349	592
297	350	590
298	351	589
299	352	587
300	353	585
301	354	584
302	355	582
303	356	581
304	357	579
305	358	578
306	359	576
307	360	575
308	361	574
309	362	572
310	363	571
311	364	569
312	365	567
313	366	566
314	366	564
315	367	563
316	368	561
317	369	560
318	370	558
319	371	557
320	372	555
321	373	554
322	374	552
323	375	551
324	376	550
325	377	548
326	378	547
327	379	546
328	380	544
329	381	543
330	382	542
331	383	540
332	384	539
333	385	538
334	386	536
335	387	534
336	388	533
337	389	532
338	390	530
339	391	529
340	392	527
341	392	526
342	393	524
343	394	523
344	395	521
345	396	520
346	397	518
347	398	517
348	399	515
349	399	514
350	400	512
351	401	511
352	402	510
353	403	508
354	404	507
355	405	505
356	406	504
357	407	502
358	408	501
359	409	499
360	409	498
361	410	496
362	411	495
363	412	494
364	413	492
365	414	491
366	415	490
367	416	488
368	417	487
369	417	485
370	418	484
371	419	482
372	420	481
373	421	480
374	422	478
375	423	477
376	423	475
377	424	474
378	425	472
379	426	471
380	427	469
381	428	468
382	429	467
383	430	466
384	431	464
385	432	463
386	432	462
387	433	460
388	434	459
389	435	457
390	436	456
391	437	455
392	438	454
393	439	452
394	440	451
395	441	450
396	442	448
397	443	447
398	444	446
399	445	445
400	445	443
401	446	442
402	447	441
403	448	439
404	449	438
405	450	437
406	451	436
407	452	434
408	453	433
409	454	432
410	455	430
411	456	429
412	457	428
413	458	427
414	458	425
415	459	424
416	460	423
417	461	421
418	462	420
419	463	419
420	464	418
421	465	416
422	466	415
423	467	414
424	468	413
425	469	411
426	469	410
427	470	408
428	471	407
429	472	406
430	473	404
431	474	403
432	474	402
433	475	401
434	476	400
435	477	398
436	478	397
437	479	396
438	480	395
439	481	393
440	482	392
441	483	391
442	484	390
443	485	388
444	486	387
445	486	386
446	487	385
447	488	383
448	489	382
449	490	381
450	491	380
451	492	379
452	493	378
453	494	376
454	495	375
455	496	374
456	497	373
457	499	372
458	500	371
459	501	370
460	502	369
461	503	368
462	504	367
463	505	366
464	506	364
465	507	363
466	508	362
467	509	361
468	510	360
469	511	359
470	512	357
471	513	356
472	514	355
473	515	354
474	516	353
475	517	352
476	518	351
477	519	349
478	520	348
479	521	347
480	522	346
481	523	345
482	524	344
483	525	343
484	526	342
485	528	341
486	528	339
487	530	338
488	530	337
489	531	336
490	533	335
491	534	334
492	535	333
493	536	332
494	537	330
495	538	329
496	539	328
497	540	327
498	540	326
499	541	325
500	542	323
501	543	322
502	544	321
503	545	320
504	546	319
505	547	318
506	548	317
507	549	315
508	550	314
509	551	313
510	552	312
511	553	311
512	554	310
513	555	309
514	556	308
515	558	307
516	559	306
517	560	304
518	561	303
519	562	302
520	563	301
521	564	300
522	566	300
523	567	299
524	569	298
525	570	297
526	571	295
527	572	294
528	573	293
529	574	292
530	575	291
531	576	290
532	577	289
533	578	288
534	579	286
535	580	286
536	582	285
537	583	284
538	586	284
539	588	283
540	589	282
541	591	281
542	592	280
543	593	279
544	595	278
545	596	277
546	597	276
547	598	275
548	599	274
549	600	273
550	601	271
551	602	270
552	603	269
553	604	268
554	605	267
555	606	266
556	608	265
557	609	264
558	610	263
559	612	262
560	613	261
561	615	260
562	616	259
563	617	258
564	619	257
565	620	256
566	622	255
567	625	255
568	626	254
569	627	253
570	628	251
571	629	250
572	630	249
573	631	248
574	632	247
575	633	246
576	634	245
577	635	244
578	636	242
579	637	241
580	638	240
581	639	239
582	640	238
583	641	237
584	642	236
585	643	234
586	644	233
587	645	232
588	646	231
589	647	230
590	648	229
591	649	228
592	650	227
593	651	226
594	652	224
595	653	223
596	654	222
597	655	221
598	656	220
599	657	219
600	659	218
601	660	217
602	661	216
603	662	215
604	663	213
605	664	212
606	666	211
607	667	210
608	668	209
609	669	208
610	670	207
611	671	206
612	673	205
613	674	204
614	675	203
615	676	201
616	677	200
617	678	199
618	679	198
619	680	197
620	681	196
621	682	195
622	683	194
623	684	192
624	685	191
625	686	190
626	686	189
627	688	188
628	689	187
629	690	186
630	691	185
631	691	183
632	693	182
633	694	181
634	694	180
635	695	179
636	696	178
637	697	177
638	698	175
639	699	174
640	699	173
641	700	172
642	701	171
643	702	170
644	703	169
645	704	168
646	705	166
647	706	165
648	707	164
649	708	163
650	709	162
651	710	161
652	711	160
653	711	158
654	712	157
655	713	156
656	714	155
657	715	154
658	716	153
659	717	152
660	718	151
661	719	149
662	720	148
663	720	147
664	721	146
665	722	145
666	723	144
667	724	143
668	725	142
669	726	140
670	727	139
671	728	138
672	729	137
673	730	136
674	731	135
675	732	134
676	733	133
677	733	132
678	734	130
679	735	129
680	736	128
681	737	127
682	738	126
683	739	125
684	740	124
685	741	123
686	742	122
687	742	120
688	743	119
689	744	118
690	745	117
691	746	116
692	747	115
693	748	114
694	749	113
695	750	112
696	751	111
697	752	109
698	753	108
699	754	107
700	754	106
701	755	105
702	756	104
703	757	103
704	758	102
705	759	101
706	760	100
707	761	98
708	762	97
709	762	96
710	763	95
711	764	94
712	765	93
713	766	92
714	767	91
715	768	90
716	769	89
717	770	87
718	771	86
719	771	85
720	772	84
721	773	83
722	774	82
723	775	81
724	776	80
725	777	79
726	778	78
727	779	77
728	780	75
729	781	74
730	781	73
731	782	72
732	783	71
733	784	70
734	785	69
735	786	68
736	787	67
737	788	66
738	789	65
739	790	64
740	791	62
741	792	61
742	792	60
743	793	59
744	794	58
745	795	57
746	796	56
747	797	55
748	798	54
749	799	53
750	800	52
751	801	51
752	801	50
753	802	48
754	803	47
755	804	46
756	805	45
757	806	44
758	807	43
759	808	42
760	808	41
761	809	40
762	810	39
763	811	38
764	812	37
765	813	36
766	814	35
767	815	33
768	816	32
769	817	31
770	818	30
771	819	29
772	820	28
773	821	27
774	821	26
775	822	25
776	823	24
777	824	23
778	825	22
779	826	21
780	827	20
781	828	19
782	829	18
783	830	16
784	830	15
785	831	14
786	832	13
787	833	12
788	834	11
789	835	10
790	836	9
791	837	8
792	838	7
793	839	6
794	840	5
795	840	4
796	841	3
797	842	2
798	843	1
799	843	0
